Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
Wholesale Trade,Computer & Mathematical Occupations,1,Bachelors Degree or more,15,14,1173,14
Wholesale Trade,Architecture & Engineering Occupations,0,Less than High School,15,7,733,7
Wholesale Trade,Architecture & Engineering Occupations,0,High School,15,25,2284,25
Wholesale Trade,Architecture & Engineering Occupations,0,Some College,15,100,10352,100
Wholesale Trade,Architecture & Engineering Occupations,0,Bachelors Degree or more,15,171,18499,171
Wholesale Trade,Architecture & Engineering Occupations,1,High School,15,1,86,1
Wholesale Trade,Architecture & Engineering Occupations,1,Some College,15,7,709,7
Wholesale Trade,Architecture & Engineering Occupations,1,Bachelors Degree or more,15,5,560,5
Wholesale Trade,"Life, Physical, & Social Science Occupations",0,Less than High School,15,2,232,2
Wholesale Trade,"Life, Physical, & Social Science Occupations",0,High School,15,9,891,9
Wholesale Trade,"Life, Physical, & Social Science Occupations",0,Some College,15,23,1428,23
Wholesale Trade,"Life, Physical, & Social Science Occupations",0,Bachelors Degree or more,15,71,6875,71
Wholesale Trade,"Life, Physical, & Social Science Occupations",1,Some College,15,3,263,3
Wholesale Trade,"Life, Physical, & Social Science Occupations",1,Bachelors Degree or more,15,2,101,2
Wholesale Trade,Community & Social Services Occupations,0,Less than High School,15,1,54,1
Wholesale Trade,Community & Social Services Occupations,0,High School,15,1,89,1
Wholesale Trade,Community & Social Services Occupations,0,Some College,15,2,131,2
Wholesale Trade,Community & Social Services Occupations,0,Bachelors Degree or more,15,7,958,7
Wholesale Trade,Legal Occupations,0,High School,15,10,710,10
Wholesale Trade,Legal Occupations,0,Some College,15,10,1067,10
Wholesale Trade,Legal Occupations,0,Bachelors Degree or more,15,39,3842,39
Wholesale Trade,Legal Occupations,1,High School,15,1,34,1
Wholesale Trade,Legal Occupations,1,Some College,15,2,109,2
Wholesale Trade,"Education, Training, & Library Occupations",0,Less than High School,15,1,25,1
Wholesale Trade,"Education, Training, & Library Occupations",0,High School,15,4,748,4
Wholesale Trade,"Education, Training, & Library Occupations",0,Some College,15,12,1070,12
Wholesale Trade,"Education, Training, & Library Occupations",0,Bachelors Degree or more,15,26,2190,26
Wholesale Trade,"Education, Training, & Library Occupations",1,High School,15,1,76,1
Wholesale Trade,"Education, Training, & Library Occupations",1,Some College,15,2,208,2
Wholesale Trade,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Less than High School,15,8,1030,8
Wholesale Trade,"Arts, Design, Entertainment, Sports, & Media Occupations",0,High School,15,21,2164,21
Wholesale Trade,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Some College,15,93,9433,93
Wholesale Trade,"Arts, Design, Entertainment, Sports, & Media Occupations",0,Bachelors Degree or more,15,158,16150,158
Wholesale Trade,"Arts, Design, Entertainment, Sports, & Media Occupations",1,High School,15,2,147,2
Wholesale Trade,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Some College,15,2,117,2
Wholesale Trade,"Arts, Design, Entertainment, Sports, & Media Occupations",1,Bachelors Degree or more,15,4,381,4
Wholesale Trade,Healthcare Practitioners & Technical Occupations,0,Less than High School,15,3,313,3
Wholesale Trade,Healthcare Practitioners & Technical Occupations,0,High School,15,13,1111,13
Wholesale Trade,Healthcare Practitioners & Technical Occupations,0,Some College,15,47,5475,47
Wholesale Trade,Healthcare Practitioners & Technical Occupations,0,Bachelors Degree or more,15,51,5269,51
Wholesale Trade,Healthcare Practitioners & Technical Occupations,1,Some College,15,1,34,1
Wholesale Trade,Healthcare Practitioners & Technical Occupations,1,Bachelors Degree or more,15,2,230,2
Wholesale Trade,Healthcare Support Occupations,0,Less than High School,15,1,87,1
Wholesale Trade,Healthcare Support Occupations,0,High School,15,5,653,5
Wholesale Trade,Healthcare Support Occupations,0,Some College,15,7,711,7
Wholesale Trade,Healthcare Support Occupations,0,Bachelors Degree or more,15,5,404,5
Wholesale Trade,Healthcare Support Occupations,1,Bachelors Degree or more,15,1,113,1
Wholesale Trade,Protective Service Occupations,0,Less than High School,15,7,676,7
Wholesale Trade,Protective Service Occupations,0,High School,15,16,1383,16
Wholesale Trade,Protective Service Occupations,0,Some College,15,20,2426,20
Wholesale Trade,Protective Service Occupations,0,Bachelors Degree or more,15,9,943,9
Wholesale Trade,Protective Service Occupations,1,High School,15,1,39,1
Wholesale Trade,Food Preparation & Serving Related Occupations,0,Less than High School,15,27,3272,27
Wholesale Trade,Food Preparation & Serving Related Occupations,0,High School,15,17,2504,17
Wholesale Trade,Food Preparation & Serving Related Occupations,0,Some College,15,37,3916,37
Wholesale Trade,Food Preparation & Serving Related Occupations,0,Bachelors Degree or more,15,5,679,5
Wholesale Trade,Food Preparation & Serving Related Occupations,1,Less than High School,15,3,521,3
Wholesale Trade,Food Preparation & Serving Related Occupations,1,Some College,15,2,96,2
Wholesale Trade,Building & Grounds Cleaning & Maintenance Occupations,0,Less than High School,15,79,9865,79
Wholesale Trade,Building & Grounds Cleaning & Maintenance Occupations,0,High School,15,117,12920,117
Wholesale Trade,Building & Grounds Cleaning & Maintenance Occupations,0,Some College,15,56,5470,56
Wholesale Trade,Building & Grounds Cleaning & Maintenance Occupations,0,Bachelors Degree or more,15,12,1109,12
Wholesale Trade,Building & Grounds Cleaning & Maintenance Occupations,1,Less than High School,15,16,1326,16
Wholesale Trade,Building & Grounds Cleaning & Maintenance Occupations,1,High School,15,23,2561,23
Wholesale Trade,Building & Grounds Cleaning & Maintenance Occupations,1,Some College,15,9,522,9
Wholesale Trade,Building & Grounds Cleaning & Maintenance Occupations,1,Bachelors Degree or more,15,3,247,3
Wholesale Trade,Personal Care & Service Occupations,0,Less than High School,15,1,106,1
Wholesale Trade,Personal Care & Service Occupations,0,High School,15,7,627,7
Wholesale Trade,Personal Care & Service Occupations,0,Some College,15,4,347,4
Wholesale Trade,Personal Care & Service Occupations,0,Bachelors Degree or more,15,4,393,4
Wholesale Trade,Personal Care & Service Occupations,1,Some College,15,2,293,2
Wholesale Trade,Personal Care & Service Occupations,1,Bachelors Degree or more,15,2,120,2
Wholesale Trade,Sales & Related Occupations,0,Less than High School,15,492,51509,492
Wholesale Trade,Sales & Related Occupations,0,High School,15,2689,274804,2689
Wholesale Trade,Sales & Related Occupations,0,Some College,15,4297,432447,4297
Wholesale Trade,Sales & Related Occupations,0,Bachelors Degree or more,15,5426,549158,5426
Wholesale Trade,Sales & Related Occupations,1,Less than High School,15,53,5311,53
Wholesale Trade,Sales & Related Occupations,1,High School,15,172,16192,172
Wholesale Trade,Sales & Related Occupations,1,Some College,15,255,22896,255
Wholesale Trade,Sales & Related Occupations,1,Bachelors Degree or more,15,175,15275,175
Wholesale Trade,Office & Administrative Support Occupations,0,Less than High School,15,427,46852,427
Wholesale Trade,Office & Administrative Support Occupations,0,High School,15,2109,214756,2109
Wholesale Trade,Office & Administrative Support Occupations,0,Some College,15,2488,261504,2488
Wholesale Trade,Office & Administrative Support Occupations,0,Bachelors Degree or more,15,1121,108590,1121
Wholesale Trade,Office & Administrative Support Occupations,1,Less than High School,15,27,2199,27
Wholesale Trade,Office & Administrative Support Occupations,1,High School,15,133,12532,133
Wholesale Trade,Office & Administrative Support Occupations,1,Some College,15,164,16769,164
Wholesale Trade,Office & Administrative Support Occupations,1,Bachelors Degree or more,15,43,3798,43
Wholesale Trade,"Farming, Fishing, & Forestry Occupations",0,Less than High School,15,146,17230,146
Wholesale Trade,"Farming, Fishing, & Forestry Occupations",0,High School,15,100,11913,100
Wholesale Trade,"Farming, Fishing, & Forestry Occupations",0,Some College,15,36,2805,36
Wholesale Trade,"Farming, Fishing, & Forestry Occupations",0,Bachelors Degree or more,15,15,1891,15
Wholesale Trade,"Farming, Fishing, & Forestry Occupations",1,Less than High School,15,10,636,10
Wholesale Trade,"Farming, Fishing, & Forestry Occupations",1,High School,15,3,614,3
Wholesale Trade,"Farming, Fishing, & Forestry Occupations",1,Some College,15,4,361,4
Wholesale Trade,Construction & Extraction Occupations,0,Less than High School,15,39,5289,39
Wholesale Trade,Construction & Extraction Occupations,0,High School,15,107,12621,107
Wholesale Trade,Construction & Extraction Occupations,0,Some College,15,51,5676,51
Wholesale Trade,Construction & Extraction Occupations,0,Bachelors Degree or more,15,20,3165,20
Wholesale Trade,Construction & Extraction Occupations,1,Less than High School,15,5,768,5
Wholesale Trade,Construction & Extraction Occupations,1,High School,15,10,1145,10
Wholesale Trade,Construction & Extraction Occupations,1,Some College,15,5,432,5
Wholesale Trade,"Installation, Maintenance, & Repair Occupations",0,Less than High School,15,133,13357,133
Wholesale Trade,"Installation, Maintenance, & Repair Occupations",0,High School,15,497,45714,497
Wholesale Trade,"Installation, Maintenance, & Repair Occupations",0,Some College,15,561,53302,561
Wholesale Trade,"Installation, Maintenance, & Repair Occupations",0,Bachelors Degree or more,15,120,13706,120
Wholesale Trade,"Installation, Maintenance, & Repair Occupations",1,Less than High School,15,18,1525,18
Wholesale Trade,"Installation, Maintenance, & Repair Occupations",1,High School,15,35,2813,35
Wholesale Trade,"Installation, Maintenance, & Repair Occupations",1,Some College,15,44,3657,44
Wholesale Trade,"Installation, Maintenance, & Repair Occupations",1,Bachelors Degree or more,15,5,489,5
Wholesale Trade,Production Occupations,0,Less than High School,15,418,45647,418
