MajorOcc,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
"Farming, Fishing, & Forestry Occupations",,,White only,,18,7498,752575,7498
"Farming, Fishing, & Forestry Occupations",,,Black/African American only,,18,400,43648,400
"Farming, Fishing, & Forestry Occupations",,,Asian only,,18,126,12598,126
"Farming, Fishing, & Forestry Occupations",,,Some other race(s),,18,1625,180894,1625
Construction & Extraction Occupations,,,White only,,18,53896,5788685,53896
Construction & Extraction Occupations,,,Black/African American only,,18,3158,424336,3158
Construction & Extraction Occupations,,,Asian only,,18,814,97730,814
Construction & Extraction Occupations,,,Some other race(s),,18,6763,914939,6763
"Installation, Maintenance, & Repair Occupations",,,White only,,18,38453,3856779,38453
"Installation, Maintenance, & Repair Occupations",,,Black/African American only,,18,2867,371628,2867
"Installation, Maintenance, & Repair Occupations",,,Asian only,,18,1296,135136,1296
"Installation, Maintenance, & Repair Occupations",,,Some other race(s),,18,3085,365327,3085
Production Occupations,,,White only,,18,64222,6348074,64222
Production Occupations,,,Black/African American only,,18,7911,1013883,7911
Production Occupations,,,Asian only,,18,4400,492439,4400
Production Occupations,,,Some other race(s),,18,6889,848279,6889
Transportation & Material Moving Occupations,,,White only,,18,62947,6339394,62947
Transportation & Material Moving Occupations,,,Black/African American only,,18,10956,1437284,10956
Transportation & Material Moving Occupations,,,Asian only,,18,2179,254021,2179
Transportation & Material Moving Occupations,,,Some other race(s),,18,7052,860997,7052
Military Specific Occupations,,,White only,,18,4303,402677,4303
Military Specific Occupations,,,Black/African American only,,18,699,73935,699
Military Specific Occupations,,,Asian only,,18,172,15913,172
Military Specific Occupations,,,Some other race(s),,18,435,42749,435
Management Occupations,,,White only,Less than High School,19,3350,337321,3350
Management Occupations,,,White only,High School,19,18643,1783539,18643
Management Occupations,,,White only,Some College,19,33886,3242293,33886
Management Occupations,,,White only,Bachelors Degree or more,19,68987,6516459,68987
Management Occupations,,,Black/African American only,Less than High School,19,267,35516,267
Management Occupations,,,Black/African American only,High School,19,1022,130989,1022
Management Occupations,,,Black/African American only,Some College,19,2471,321265,2471
Management Occupations,,,Black/African American only,Bachelors Degree or more,19,4385,526239,4385
Management Occupations,,,Asian only,Less than High School,19,231,22719,231
Management Occupations,,,Asian only,High School,19,473,54504,473
Management Occupations,,,Asian only,Some College,19,1064,113851,1064
Management Occupations,,,Asian only,Bachelors Degree or more,19,5753,596074,5753
Management Occupations,,,Some other race(s),Less than High School,19,502,59370,502
Management Occupations,,,Some other race(s),High School,19,1027,118661,1027
Management Occupations,,,Some other race(s),Some College,19,1846,199990,1846
Management Occupations,,,Some other race(s),Bachelors Degree or more,19,2239,239551,2239
Business & Financial Operations Occupations,,,White only,Less than High School,19,471,48732,471
Business & Financial Operations Occupations,,,White only,High School,19,5136,505740,5136
Business & Financial Operations Occupations,,,White only,Some College,19,13830,1352209,13830
Business & Financial Operations Occupations,,,White only,Bachelors Degree or more,19,37332,3609932,37332
Business & Financial Operations Occupations,,,Black/African American only,Less than High School,19,90,9764,90
Business & Financial Operations Occupations,,,Black/African American only,High School,19,473,59966,473
Business & Financial Operations Occupations,,,Black/African American only,Some College,19,1583,209061,1583
Business & Financial Operations Occupations,,,Black/African American only,Bachelors Degree or more,19,2987,365246,2987
Business & Financial Operations Occupations,,,Asian only,Less than High School,19,43,3955,43
Business & Financial Operations Occupations,,,Asian only,High School,19,163,16856,163
Business & Financial Operations Occupations,,,Asian only,Some College,19,573,58953,573
Business & Financial Operations Occupations,,,Asian only,Bachelors Degree or more,19,4308,450949,4308
